customerid,firstname,lastname,address,priphone,secphone,email,custsince,checkingstatus,loanduration,credithistory,loanpurpose,loanamount,existingsavings,employmentduration,installmentpercent,sex,othersonloan,currentresidenceduration,ownsproperty,age,installmentplans,housing,existingcreditscount,job,dependents,telephone,foreignworker,risk
01-0794792,Faina,Reeds,607 La Follette Circle,859-784-2293,420-140-3435,fainareeds@hotmail.com,9/24/2003,no_checking,35,outstanding_credit,repairs,3541,greater_1000,greater_7,5,male,none,4,car_other,40,none,own,1,skilled,1,yes,yes,Risk
01-3116343,Dido,Membry,24474 Blue Bill Park Way,960-112-9286,968-653-6299,didomembry@google.com,12/27/1982,less_0,17,credits_paid_to_date,repairs,3861,less_100,1_to_4,3,male,none,3,real_estate,53,none,own,1,skilled,1,none,yes,No Risk
01-3475392,Hurley,Piercy,11 Eastlawn Avenue,935-910-2842,116-119-9942,hurleypiercy@google.com,3/12/1994,greater_200,22,all_credits_paid_back,car_used,3376,less_100,less_1,3,female,none,2,car_other,44,none,own,1,skilled,1,none,yes,No Risk
01-4186862,Artus,Jersh,83175 Packers Place,804-939-8530,739-464-7675,artusjersh@google.com,5/23/2005,no_checking,39,credits_paid_to_date,vacation,6434,unknown,greater_7,5,male,none,4,car_other,32,none,own,2,skilled,2,yes,yes,Risk
01-4842807,Keefe,Yushmanov,76 Hanover Drive,211-179-5934,955-786-9758,keefeyushmanov@hotmail.com,5/12/2002,greater_200,23,credits_paid_to_date,car_used,2963,greater_1000,greater_7,4,male,none,4,car_other,34,none,own,2,skilled,1,none,yes,Risk
01-5783490,Felicle,Blabie,6 Bartelt Lane,631-172-4348,888-154-8282,felicleblabie@outlook.com,6/22/2001,no_checking,32,prior_payments_delayed,radio_tv,5105,500_to_1000,1_to_4,4,male,none,5,savings_insurance,36,none,own,2,management_self-employed,1,none,yes,Risk
01-6499149,Lolita,McCallion,95 Lindbergh Terrace,386-915-3751,798-123-5246,lolitamccallion@hotmail.com,4/22/2014,no_checking,23,prior_payments_delayed,furniture,1440,100_to_500,1_to_4,3,female,none,3,real_estate,21,stores,own,1,unskilled,1,yes,yes,No Risk
01-7682836,Shay,Levins,434 Sunnyside Place,516-791-3474,456-108-9033,shaylevins@yahoo.com,8/11/2006,less_0,18,prior_payments_delayed,retraining,4032,less_100,1_to_4,2,female,none,2,car_other,31,none,rent,1,skilled,1,none,yes,No Risk
01-9117573,Nellie,Abelson,97 Hooker Avenue,710-183-3690,462-341-0694,nellieabelson@google.com,12/24/2006,no_checking,36,prior_payments_delayed,appliances,5927,unknown,greater_7,4,male,co-applicant,3,savings_insurance,38,none,own,2,skilled,1,none,yes,Risk
01-9149647,Emmett,Joost,250 Golf Avenue,954-613-5057,307-228-4799,emmettjoost@outlook.com,4/16/1996,no_checking,50,outstanding_credit,other,4694,unknown,greater_7,4,male,none,4,unknown,37,none,own,1,skilled,2,yes,yes,Risk
02-0073073,Andrei,Heinle,2348 Loomis Crossing,909-946-3774,104-800-9828,andreiheinle@yahoo.com,9/1/1985,no_checking,14,credits_paid_to_date,furniture,1269,500_to_1000,greater_7,2,male,none,2,savings_insurance,56,none,own,1,skilled,1,none,yes,No Risk
02-0193661,Andreas,Donner,76047 Starling Trail,107-856-4039,562-738-9480,andreasdonner@yahoo.com,4/3/1992,no_checking,34,prior_payments_delayed,furniture,2196,500_to_1000,greater_7,3,male,none,4,savings_insurance,52,none,own,1,skilled,1,none,yes,No Risk
02-0771836,Selena,Dassindale,204 Hovde Court,529-586-5955,205-153-0575,selenadassindale@outlook.com,12/11/2004,no_checking,25,prior_payments_delayed,car_used,8708,100_to_500,1_to_4,4,male,none,5,car_other,37,none,free,2,management_self-employed,1,none,yes,No Risk
02-0868385,Giustina,Ortes,557 Welch Crossing,507-348-2012,818-392-5188,giustinaortes@google.com,1/15/1991,no_checking,27,prior_payments_delayed,radio_tv,4981,500_to_1000,4_to_7,4,male,none,4,savings_insurance,52,none,own,2,management_self-employed,2,yes,yes,No Risk
02-2553915,Loella,Asgodby,3 Annamark Terrace,878-537-3074,793-264-9345,loellaasgodby@outlook.com,2/5/2003,less_0,13,all_credits_paid_back,car_new,2436,less_100,less_1,2,female,none,1,savings_insurance,32,stores,own,1,skilled,1,none,yes,No Risk
02-4055249,Carlynne,Standrin,230 Quincy Terrace,515-488-6215,988-120-5813,carlynnestandrin@hotmail.com,3/20/2007,greater_200,25,outstanding_credit,appliances,4136,100_to_500,4_to_7,3,male,none,2,car_other,33,bank,own,1,unemployed,1,yes,yes,No Risk
02-5370655,Sumner,Gauthorpp,9 Monterey Way,615-219-2297,505-126-1194,sumnergauthorpp@google.com,4/18/1987,no_checking,15,credits_paid_to_date,retraining,4014,less_100,1_to_4,4,male,co-applicant,4,savings_insurance,50,none,own,1,skilled,1,yes,yes,Risk
02-6612074,Robbie,Ianson,94 Maryland Hill,826-954-4444,697-586-1908,robbieianson@google.com,4/4/1981,no_checking,28,prior_payments_delayed,appliances,5440,100_to_500,4_to_7,3,male,none,2,unknown,54,none,own,2,skilled,1,yes,yes,Risk
02-6936579,Katy,Popley,09413 Lakeland Circle,258-930-0883,862-837-2937,katypopley@yahoo.com,5/25/2005,less_0,19,credits_paid_to_date,furniture,2111,less_100,4_to_7,3,male,none,2,savings_insurance,30,bank,own,1,unemployed,2,none,yes,No Risk
02-6946479,Nan,Dyet,69 Dryden Avenue,493-326-2677,654-897-7755,nandyet@hotmail.com,5/21/1996,less_0,5,prior_payments_delayed,car_used,2528,less_100,1_to_4,2,male,none,2,real_estate,37,none,rent,1,skilled,1,none,yes,No Risk
02-9730384,Kerwinn,Tapply,482 Butterfield Terrace,328-924-5054,537-669-6551,kerwinntapply@google.com,12/11/2011,greater_200,29,prior_payments_delayed,vacation,7083,500_to_1000,4_to_7,4,male,none,4,unknown,27,none,own,2,skilled,2,yes,yes,Risk
03-0987318,Joceline,Helks,3574 Elmside Hill,154-201-3104,400-933-3343,jocelinehelks@outlook.com,11/26/1980,no_checking,32,outstanding_credit,appliances,8032,500_to_1000,1_to_4,3,male,none,3,unknown,56,none,own,1,skilled,1,none,yes,No Risk
03-1730814,Mabelle,Velareal,5313 Spaight Center,878-346-2305,933-375-2728,mabellevelareal@google.com,5/11/1982,0_to_200,28,prior_payments_delayed,car_used,3952,greater_1000,greater_7,4,male,none,4,savings_insurance,58,none,own,2,skilled,1,none,yes,No Risk
03-2200107,Caroline,Penman,4323 Maple Road,499-155-0726,367-854-4096,carolinepenman@google.com,11/28/2000,less_0,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,1,real_estate,42,none,rent,1,skilled,1,none,yes,No Risk
03-2283678,Gerrie,Rutledge,68109 Colorado Crossing,334-622-8342,735-694-4319,gerrierutledge@google.com,4/16/2006,0_to_200,20,credits_paid_to_date,car_used,3713,less_100,less_1,3,male,none,2,real_estate,29,none,rent,1,skilled,1,none,yes,No Risk
03-3116774,Lorettalorna,Llopis,6 Village Trail,382-767-6353,855-576-3610,lorettalornallopis@google.com,2/12/2001,no_checking,32,outstanding_credit,repairs,6331,unknown,greater_7,5,male,co-applicant,4,car_other,34,none,free,2,management_self-employed,2,yes,yes,Risk
03-3345025,Mendy,Cuncarr,7981 La Follette Court,786-330-9174,334-433-1856,mendycuncarr@yahoo.com,4/15/1991,less_0,14,all_credits_paid_back,furniture,250,less_100,less_1,2,male,none,1,real_estate,42,none,own,2,skilled,1,none,yes,No Risk
03-3610529,Sheppard,Tow,98648 Hauk Alley,765-800-0092,325-313-5824,sheppardtow@google.com,12/4/2014,no_checking,25,prior_payments_delayed,radio_tv,7587,500_to_1000,1_to_4,4,male,none,4,car_other,23,none,own,2,management_self-employed,1,none,yes,No Risk
03-5271196,Ryon,Semorad,15434 Vahlen Court,468-432-3825,446-993-1974,ryonsemorad@yahoo.com,7/23/2003,0_to_200,13,prior_payments_delayed,radio_tv,2453,less_100,4_to_7,3,male,none,2,car_other,32,none,own,2,skilled,1,none,yes,No Risk
03-6200731,Lemuel,Brotherton,7 Reinke Junction,318-376-9377,252-850-2174,lemuelbrotherton@yahoo.com,9/4/2012,no_checking,23,prior_payments_delayed,furniture,3786,greater_1000,4_to_7,4,male,guarantor,5,car_other,24,none,own,1,skilled,1,yes,yes,No Risk
03-6539588,Benji,Bourgeois,5640 Algoma Terrace,746-968-9081,299-900-5102,benjibourgeois@outlook.com,10/9/2011,0_to_200,23,prior_payments_delayed,retraining,2964,less_100,less_1,2,male,none,3,real_estate,25,none,own,1,skilled,1,yes,yes,No Risk
03-7887766,Winnie,Golley,18607 Hoffman Road,668-866-9974,346-769-8734,winniegolley@yahoo.com,3/4/1985,less_0,12,all_credits_paid_back,furniture,250,less_100,unemployed,2,female,none,2,savings_insurance,48,bank,rent,1,unemployed,2,yes,yes,No Risk
03-7936531,Pascale,Ball,33 Oxford Junction,221-680-9922,866-824-7522,pascaleball@outlook.com,12/12/2006,less_0,4,all_credits_paid_back,vacation,2064,less_100,1_to_4,2,female,none,1,savings_insurance,35,bank,rent,1,unskilled,1,none,yes,No Risk
04-0249744,Charlton,Reding,85 Haas Hill,454-707-1373,773-761-8788,charltonreding@google.com,12/21/1984,0_to_200,24,outstanding_credit,radio_tv,3091,500_to_1000,less_1,2,male,none,3,savings_insurance,52,bank,rent,2,unskilled,2,yes,yes,No Risk
04-0261231,Sapphire,Geaves,2 Carpenter Alley,370-646-3012,359-535-2094,sapphiregeaves@hotmail.com,4/8/2005,0_to_200,11,credits_paid_to_date,vacation,3605,less_100,1_to_4,3,female,none,2,savings_insurance,36,none,rent,1,skilled,1,none,yes,No Risk
04-0984654,Willette,Reihm,19753 Barby Center,429-435-6360,309-447-8966,willettereihm@yahoo.com,8/28/2002,0_to_200,14,prior_payments_delayed,car_new,2609,less_100,4_to_7,4,male,none,2,savings_insurance,32,bank,rent,1,unskilled,1,yes,yes,No Risk
04-1110229,Joachim,McRitchie,26980 Melvin Circle,270-158-0836,294-817-3473,joachimmcritchie@google.com,11/22/2010,greater_200,35,all_credits_paid_back,car_used,5208,less_100,4_to_7,3,male,none,2,savings_insurance,32,none,own,2,skilled,1,yes,yes,No Risk
04-1987449,Luz,Daltrey,844 Canary Place,167-375-6956,414-408-0268,luzdaltrey@hotmail.com,8/19/1987,0_to_200,22,credits_paid_to_date,radio_tv,2783,less_100,less_1,3,male,none,2,savings_insurance,57,none,own,1,skilled,1,none,yes,No Risk
04-2993847,Al,Iddy,4 Cardinal Center,216-482-4068,274-828-6556,aliddy@yahoo.com,10/7/1995,0_to_200,26,credits_paid_to_date,radio_tv,250,less_100,4_to_7,2,male,none,2,real_estate,43,stores,own,1,skilled,1,none,yes,No Risk
04-5137732,Ive,Romeril,888 Independence Road,272-219-8761,619-377-2069,iveromeril@google.com,11/1/1996,less_0,16,prior_payments_delayed,car_new,1149,less_100,1_to_4,3,male,none,2,savings_insurance,47,none,own,2,skilled,1,yes,yes,Risk
04-6713413,Morganica,Mignot,5 Mccormick Point,762-859-4707,396-403-3338,morganicamignot@google.com,1/25/1985,0_to_200,19,credits_paid_to_date,retraining,5368,less_100,4_to_7,3,female,none,1,unknown,58,none,own,1,skilled,2,none,yes,No Risk
04-6930496,Editha,Gomer,0 New Castle Hill,189-302-1915,476-507-8717,edithagomer@google.com,9/19/1997,no_checking,48,outstanding_credit,other,7083,500_to_1000,greater_7,5,male,co-applicant,4,unknown,45,none,free,2,skilled,2,yes,yes,Risk
04-7031848,Ragnar,McNamara,6524 Iowa Pass,647-526-8409,272-693-1625,ragnarmcnamara@google.com,1/5/2007,0_to_200,17,prior_payments_delayed,car_new,4188,greater_1000,greater_7,4,male,none,3,unknown,32,none,own,2,skilled,1,none,yes,No Risk
04-8103923,Whittaker,Punshon,363 Clyde Gallagher Avenue,712-405-9785,586-499-7851,whittakerpunshon@outlook.com,1/25/1994,greater_200,24,credits_paid_to_date,radio_tv,5600,less_100,less_1,4,male,none,3,car_other,42,stores,own,2,unskilled,1,none,yes,No Risk
05-0406987,Edithe,Rubert,84 North Circle,471-749-8629,151-650-3980,editherubert@google.com,2/21/2008,0_to_200,15,credits_paid_to_date,furniture,3322,100_to_500,4_to_7,3,female,none,2,car_other,35,none,own,2,skilled,1,yes,yes,No Risk
05-0823728,Vivianna,Mangam,99690 Kipling Plaza,550-581-7422,620-248-4382,viviannamangam@google.com,1/18/1987,greater_200,33,prior_payments_delayed,furniture,1231,100_to_500,1_to_4,3,male,none,2,savings_insurance,53,none,own,1,skilled,1,none,yes,No Risk
05-3062248,Prent,Waszczykowski,1857 Hintze Terrace,622-940-8628,488-399-5243,prentwaszczykowski@outlook.com,10/5/1991,0_to_200,31,outstanding_credit,furniture,5702,100_to_500,greater_7,3,male,none,4,unknown,49,none,own,2,skilled,1,yes,yes,Risk
05-3072579,Kandace,Berger,5 Anniversary Trail,222-965-8196,812-604-7566,kandaceberger@google.com,4/26/2013,0_to_200,14,credits_paid_to_date,car_new,2886,100_to_500,unemployed,1,male,none,1,savings_insurance,24,stores,own,1,skilled,1,none,yes,No Risk
05-3092696,Stacee,Sharples,6593 Schlimgen Plaza,600-891-4579,883-486-5168,staceesharples@hotmail.com,4/11/1982,no_checking,9,prior_payments_delayed,radio_tv,3533,greater_1000,greater_7,3,male,none,4,car_other,63,none,own,1,skilled,1,none,yes,No Risk
05-4525230,Sid,Farquhar,87817 Butternut Junction,273-621-2126,389-823-2087,sidfarquhar@google.com,5/23/1983,0_to_200,4,all_credits_paid_back,car_new,250,100_to_500,less_1,2,female,none,3,real_estate,52,bank,rent,1,unskilled,1,none,yes,No Risk
05-6638903,Bevan,Gut,4673 Beilfuss Court,906-230-2621,632-794-9768,bevangut@yahoo.com,6/23/1992,0_to_200,16,prior_payments_delayed,radio_tv,2208,less_100,greater_7,4,female,none,3,car_other,47,none,free,2,skilled,1,yes,yes,No Risk
05-7350909,Halette,Marcu,1895 Fremont Pass,329-622-9481,170-567-4123,halettemarcu@google.com,5/12/2015,no_checking,27,prior_payments_delayed,appliances,4164,100_to_500,4_to_7,3,female,none,4,savings_insurance,18,none,own,1,skilled,1,none,yes,No Risk
05-8617559,Bobbi,Gookes,98 Carpenter Road,487-329-4965,787-447-0239,bobbigookes@google.com,11/15/1998,no_checking,44,outstanding_credit,appliances,7532,greater_1000,greater_7,4,male,co-applicant,3,unknown,41,none,own,2,skilled,1,none,yes,Risk
05-9553261,Waverly,Balloch,1 Leroy Place,787-335-0189,545-622-5038,waverlyballoch@google.com,4/17/2011,no_checking,36,outstanding_credit,repairs,5673,unknown,greater_7,5,male,none,4,unknown,34,none,own,2,skilled,1,none,yes,Risk
06-0818428,Selene,Jones,31497 Artisan Alley,928-836-8730,233-307-0000,selenejones@google.com,6/8/2015,0_to_200,4,all_credits_paid_back,car_used,1008,less_100,unemployed,2,female,none,3,real_estate,18,none,rent,1,management_self-employed,1,none,yes,No Risk
06-1040679,Thomasina,Hentze,587 Warbler Road,556-246-6371,534-437-6064,thomasinahentze@outlook.com,6/24/1985,no_checking,28,outstanding_credit,car_used,4926,500_to_1000,1_to_4,3,male,none,3,savings_insurance,52,none,own,2,skilled,2,yes,no,Risk
06-2114225,Dorthy,Moulson,4431 Sherman Plaza,603-194-1442,262-236-8121,dorthymoulson@hotmail.com,1/16/2002,no_checking,26,prior_payments_delayed,education,5740,100_to_500,4_to_7,4,male,none,4,car_other,38,none,own,2,management_self-employed,1,yes,yes,Risk
06-2791287,Ondrea,Pulley,27462 Bartelt Avenue,229-770-5754,906-766-0872,ondreapulley@google.com,10/25/1991,less_0,13,all_credits_paid_back,car_new,393,less_100,4_to_7,3,male,none,2,real_estate,53,none,own,1,skilled,1,none,yes,No Risk
06-2923483,Percival,Avrahamof,36368 Utah Place,987-621-1490,273-522-3263,percivalavrahamof@google.com,3/8/1990,less_0,7,all_credits_paid_back,car_used,250,less_100,less_1,2,female,none,1,real_estate,46,stores,own,1,skilled,1,none,yes,No Risk
06-3289178,Hope,Mapstone,74 Amoth Parkway,926-218-9660,607-629-6315,hopemapstone@yahoo.com,2/10/1994,no_checking,25,prior_payments_delayed,radio_tv,1668,100_to_500,4_to_7,3,female,none,4,savings_insurance,40,none,free,1,skilled,1,yes,yes,Risk
06-3426062,Benoit,Cicchetto,31 Rusk Pass,199-782-0253,511-343-4716,benoitcicchetto@google.com,12/21/1994,0_to_200,22,credits_paid_to_date,repairs,812,less_100,4_to_7,3,male,none,2,savings_insurance,42,bank,rent,1,unemployed,1,none,yes,No Risk
06-3794459,Ulick,Peotz,53 Cody Hill,586-196-5665,312-620-8255,ulickpeotz@hotmail.com,6/18/1998,0_to_200,13,prior_payments_delayed,furniture,2735,500_to_1000,4_to_7,2,female,none,3,savings_insurance,35,stores,rent,2,skilled,1,none,yes,Risk
06-4001987,Nicola,Kirkham,68 Hansons Alley,402-704-5252,550-935-3702,nicolakirkham@google.com,5/14/1999,no_checking,26,outstanding_credit,furniture,3573,greater_1000,greater_7,5,male,none,5,car_other,43,none,own,2,skilled,1,none,yes,Risk
06-4080329,Robinson,Pomeroy,79 Sutteridge Terrace,260-566-2208,712-622-2513,robinsonpomeroy@yahoo.com,6/8/1986,no_checking,25,prior_payments_delayed,education,6921,greater_1000,greater_7,4,male,none,3,unknown,52,none,own,3,skilled,2,yes,yes,Risk
06-5703732,Blake,Kelsall,37953 Heath Court,598-568-5225,137-623-9656,blakekelsall@google.com,3/2/1994,0_to_200,4,credits_paid_to_date,car_new,1652,500_to_1000,1_to_4,3,male,none,3,savings_insurance,39,none,rent,1,skilled,2,none,yes,No Risk
06-7091584,Trip,Hizir,8 Northport Avenue,267-786-5095,929-474-9696,triphizir@yahoo.com,10/12/1982,less_0,14,prior_payments_delayed,repairs,250,less_100,unemployed,1,male,none,1,real_estate,56,bank,rent,1,unemployed,1,none,yes,No Risk
06-9235990,Perri,Conichie,84 Blackbird Place,615-588-7124,878-295-5776,perriconichie@google.com,7/5/2001,greater_200,24,credits_paid_to_date,furniture,3428,500_to_1000,4_to_7,4,male,none,4,savings_insurance,37,none,own,1,skilled,1,none,yes,No Risk
07-0985108,Jess,Wicher,60842 Crescent Oaks Trail,906-325-1411,216-191-4487,jesswicher@outlook.com,7/6/1984,no_checking,40,prior_payments_delayed,vacation,5585,500_to_1000,4_to_7,5,male,none,4,car_other,53,none,own,2,skilled,1,yes,yes,No Risk
07-1157823,Clare,Drewry,0048 High Crossing Circle,761-478-5930,592-682-0401,claredrewry@outlook.com,3/22/2014,less_0,17,prior_payments_delayed,car_new,3366,less_100,1_to_4,2,female,none,2,car_other,31,stores,own,1,skilled,1,none,yes,No Risk
07-1291345,Nicolas,Dinning,6 Morning Hill,288-701-6370,721-175-4550,nicolasdinning@yahoo.com,2/9/1986,no_checking,26,prior_payments_delayed,car_used,7192,100_to_500,1_to_4,3,male,none,3,car_other,54,stores,own,2,unskilled,1,yes,yes,No Risk
07-1305592,Maud,Viel,1 Paget Street,371-699-0546,583-758-1649,maudviel@yahoo.com,8/17/2006,no_checking,27,prior_payments_delayed,appliances,6932,100_to_500,4_to_7,5,female,none,4,car_other,30,none,own,1,management_self-employed,1,yes,yes,Risk
07-1430255,Elvina,Hallin,9 Bobwhite Road,774-996-9732,448-368-9885,elvinahallin@google.com,2/17/2012,no_checking,33,prior_payments_delayed,furniture,4603,500_to_1000,greater_7,4,male,none,3,unknown,32,none,own,2,skilled,1,yes,yes,Risk
07-1644708,Tobe,Shuard,87 Hovde Street,397-553-5568,742-174-2097,tobeshuard@google.com,4/17/1988,no_checking,32,outstanding_credit,vacation,6483,500_to_1000,4_to_7,3,male,none,4,unknown,55,none,own,2,skilled,1,yes,yes,Risk
07-2060036,Peggy,Briatt,46250 Jenna Pass,935-693-5735,379-750-3871,peggybriatt@hotmail.com,5/21/1986,greater_200,22,credits_paid_to_date,car_used,250,less_100,1_to_4,3,female,none,3,real_estate,52,none,own,1,skilled,1,none,yes,No Risk
07-2232643,Rhianna,Caltera,33856 Glacier Hill Alley,309-358-5250,531-380-6254,rhiannacaltera@outlook.com,8/18/1998,less_0,4,all_credits_paid_back,car_new,250,less_100,1_to_4,1,male,none,2,real_estate,39,stores,rent,2,unskilled,1,none,yes,Risk
07-4565103,Selene,Guslon,15 Ridgeview Point,549-698-1886,107-429-9003,seleneguslon@google.com,2/4/1992,0_to_200,42,prior_payments_delayed,repairs,1420,500_to_1000,greater_7,3,female,none,2,car_other,47,stores,own,1,unskilled,1,none,yes,No Risk
07-4728461,Hymie,Gullyes,297 Browning Center,617-133-4896,497-717-6420,hymiegullyes@yahoo.com,2/2/1982,greater_200,21,credits_paid_to_date,car_used,3170,greater_1000,greater_7,3,male,none,2,savings_insurance,60,none,rent,1,skilled,1,none,yes,Risk
07-5525985,Josepha,Moreno,03285 Grasskamp Court,732-837-0569,139-446-9702,josephamoreno@yahoo.com,2/22/1984,0_to_200,28,credits_paid_to_date,radio_tv,337,100_to_500,less_1,1,female,none,2,car_other,59,stores,own,1,skilled,1,none,yes,No Risk
07-6702753,Friedrich,Tuffrey,960 Carberry Terrace,142-169-4618,309-162-0662,friedrichtuffrey@google.com,2/2/2011,0_to_200,21,credits_paid_to_date,car_new,2638,less_100,1_to_4,3,male,none,3,savings_insurance,30,none,own,2,skilled,1,yes,yes,Risk
07-7355383,Lazarus,Rutherforth,45 Mifflin Way,829-380-8412,738-814-0405,lazarusrutherforth@google.com,6/7/1987,less_0,13,prior_payments_delayed,furniture,690,less_100,1_to_4,3,male,none,3,savings_insurance,47,none,own,1,skilled,2,yes,yes,No Risk
07-7509275,Udale,Corkhill,3 Helena Court,455-406-3752,929-912-8886,udalecorkhill@yahoo.com,4/22/2008,less_0,4,no_credits,car_new,250,less_100,unemployed,1,female,none,1,real_estate,31,none,rent,2,skilled,1,none,yes,No Risk
07-8818805,Lucio,Waine,273 Bluejay Lane,610-587-3242,196-398-2857,luciowaine@google.com,11/20/1999,no_checking,44,prior_payments_delayed,radio_tv,5275,unknown,greater_7,5,male,co-applicant,5,unknown,37,none,free,2,skilled,2,yes,yes,Risk
07-9229308,Flem,McLay,4367 Clove Court,599-480-5631,257-447-9755,flemmclay@yahoo.com,5/7/1988,no_checking,48,outstanding_credit,other,8310,500_to_1000,4_to_7,5,male,co-applicant,4,unknown,56,none,free,2,skilled,2,yes,yes,Risk
07-9586889,Ophelia,Loosley,50 Sutherland Point,957-622-7045,845-180-4437,ophelialoosley@yahoo.com,5/11/1997,0_to_200,17,credits_paid_to_date,car_new,250,less_100,less_1,1,female,none,1,real_estate,44,none,own,1,skilled,1,none,yes,No Risk
08-0151636,Dianemarie,Figge,7767 Graedel Circle,545-771-6125,365-112-6149,dianemariefigge@google.com,6/26/1993,no_checking,12,credits_paid_to_date,car_new,484,100_to_500,less_1,2,female,none,2,real_estate,52,none,own,1,skilled,1,none,yes,No Risk
08-0262587,Linette,Abramow,80075 Brickson Park Circle,380-261-6554,805-948-8592,linetteabramow@outlook.com,12/24/2013,less_0,12,all_credits_paid_back,car_new,536,less_100,1_to_4,2,female,none,2,savings_insurance,30,none,own,1,skilled,1,none,yes,No Risk
08-0342617,Eirena,Jedrysik,98 Mitchell Crossing,862-662-7671,399-111-3450,eirenajedrysik@yahoo.com,7/22/1989,less_0,12,all_credits_paid_back,car_new,250,500_to_1000,1_to_4,1,male,none,2,real_estate,52,stores,rent,1,skilled,1,none,yes,No Risk
08-1536162,Dorrie,Caldecot,24839 Golf Course Junction,623-520-0347,265-584-0839,dorriecaldecot@google.com,3/3/1986,less_0,22,prior_payments_delayed,furniture,1779,greater_1000,greater_7,3,male,none,3,car_other,57,stores,own,2,skilled,2,yes,yes,Risk
08-1723503,Leopold,Aprahamian,8952 Annamark Parkway,336-124-6070,626-388-1612,leopoldaprahamian@google.com,5/27/2013,0_to_200,17,prior_payments_delayed,radio_tv,2164,100_to_500,less_1,2,male,none,3,savings_insurance,29,none,own,1,management_self-employed,1,yes,yes,No Risk
08-2558344,Nicoli,Passy,378 Declaration Way,812-530-9092,600-729-2588,nicolipassy@google.com,5/12/1987,less_0,7,all_credits_paid_back,car_used,779,100_to_500,less_1,1,female,none,2,real_estate,46,none,own,2,skilled,1,none,yes,No Risk
08-4031560,Craig,Rickert,03 Florence Plaza,820-923-7101,452-318-9906,craigrickert@yahoo.com,7/23/2008,no_checking,32,outstanding_credit,repairs,6169,unknown,greater_7,5,female,co-applicant,5,unknown,30,stores,own,3,unskilled,2,yes,yes,Risk
